station_uuid,latitude,longitude
00006210-0037-4444-8888-acdc00006210,48.55568314,10.8508482
00016899-3247-4444-8888-acdc00000007,49.66097641,10.91861725
00041414-208c-4444-8888-acdc00000414,51.16918945,6.948949814
00047369-0001-4444-8888-acdc00000001,48.24147034,12.52081966
00060001-d387-4444-8888-acdc00000001,48.02442169,7.586278915
00060015-0090-4444-8888-acdc00000090,47.68136978,9.552598
00060029-0003-4444-8888-acdc00000003,50.4859,9.717605
00060039-63ad-4444-8888-acdc00000001,48.90964508,11.19356632
00060054-0001-4444-8888-acdc00000001,49.86574936,11.88111973
00060055-0001-4444-8888-acdc00000001,48.62076187,9.034950256
00060059-0004-4444-8888-acdc00000004,49.83605194,12.03780365
00060062-0001-4444-8888-acdc00000001,49.20672989,8.124838829
00060065-7890-4444-8888-acdc00000004,50.13929749,11.07600689
00060072-0001-4444-8888-acdcffffffff,50.22515106,11.94643974
00060073-0002-4444-8888-acdcffffffff,50.30847931,11.91687965
00060075-0001-4444-8888-acdc00000001,50.93088913,10.71798992
00060084-0001-4444-8888-acdc00000001,47.64080811,7.705830097
00060092-0001-4444-8888-acdc00000001,48.46826553,8.406118393
00060105-0001-4444-8888-acdc00000001,48.94404984,11.56486034
00060117-0001-4444-8888-acdcffffffff,48.69090271,8.987469673
00060145-0001-4444-8888-acdc00000001,48.73895,8.13016
00060151-0001-4444-8888-acdc00000001,47.77630997,9.61825943
00060157-0001-4444-8888-acdc00000001,48.69681168,8.968400002
00060158-0001-4444-8888-acdcffffffff,48.35327148,7.807290077
00060162-0001-4444-8888-acdc00000001,49.94032669,11.5708828
00060166-0002-4444-8888-acdc00000002,50.80619812,8.415060043
00060240-0001-4444-8888-acdc00000003,49.91442108,10.89519596
00060247-0001-4444-8888-acdcffffffff,47.66563416,11.20060062
00060266-0001-4444-8888-acdc00000001,48.68310547,10.81824017
00060277-0005-4444-8888-acdc00000005,49.62572861,12.0745697
00060280-0004-4444-8888-acdcffffffff,50.42842484,12.17359066
00060281-0001-4444-8888-acdc00000001,48.58961105,11.38490772
00060282-9715-4444-8888-acdc00000001,47.9372406,7.725028992
00060283-0001-4444-8888-acdc00000001,47.61948013,7.653658867
00060301-0001-4444-8888-acdc00000001,47.93386078,12.59556866
00060306-0001-4444-8888-acdc00000001,48.51495743,11.89824963
00060332-0001-4444-8888-acdc00000001,47.99359512,12.53537464
00060336-0001-4444-8888-acdc00000001,50.75136948,8.552398682
00060378-0001-4444-8888-acdc00000001,47.64812088,8.350152016
00060401-3125-4444-8888-acdc00000001,48.4123497,10.87613964
00060438-ab8e-4444-8888-acdc00000001,48.37360764,10.7671814
00060446-0001-4444-8888-acdc00000001,48.02945328,11.60121059
00060453-0001-4444-8888-acdc00000001,51.36592102,7.551620007
00060457-0001-4444-8888-acdc00000001,48.78337097,11.37520027
00060476-9664-4444-8888-acdc00000001,47.60356903,7.655748844
00060494-0001-4444-8888-acdc00000001,49.25117874,8.540820122
00060511-7d46-4444-8888-acdc00000001,48.89702988,12.90067577
00060514-0001-4444-8888-acdc00000001,50.28724289,9.790095329
00060544-98c5-4444-8888-acdc00000001,48.78009033,11.63691044
00060547-15c9-4444-8888-acdc00000002,48.37292099,10.84733009
00060548-0002-4444-8888-acdc00000002,48.88230896,11.19731045
00060550-0003-4444-8888-acdc00000003,49.00615311,12.11481571
00060551-95cd-4444-8888-acdc00000003,48.39545059,10.91481686
00060562-0001-4444-8888-acdc00000001,49.54349136,8.336738586
00060568-0001-4444-8888-acdc00000001,47.84218979,12.34839725
00060569-0011-4444-8888-acdcffffffff,47.92580032,9.756626129
00060584-0002-4444-8888-acdc00000002,49.69403076,12.16252041
00060585-0003-4444-8888-acdc00000003,49.61891556,12.34938335
00060588-0001-4444-8888-acdc00000001,48.5869751,12.66172123
00060592-0001-4444-8888-acdc00000001,48.69335175,9.467040062
00060594-0001-4444-8888-acdc00000001,48.43830109,13.10035038
00060595-0001-4444-8888-acdc00000001,49.35289383,11.16091347
00060599-0002-4444-8888-acdc00000002,48.7314415,11.81249046
00060613-0004-4444-8888-acdc00000004,50.52773,9.73367
00060632-708f-4444-8888-acdc00000001,48.40348053,13.32425976
00060636-0067-4444-8888-acdc00000067,50.19526672,9.192881584
00060644-0001-4444-8888-acdc00000001,48.88434982,12.59506416
00060664-0001-4444-8888-acdc00000001,50.5945015,8.951648712
00060671-0066-4444-8888-acdc00000066,50.35520935,9.535140038
00060672-0065-4444-8888-acdc00000065,51.03779984,9.398440361
00060690-0001-4444-8888-acdc00000001,50.9057,8.5338
00060691-0002-4444-8888-acdc00000002,51.057,8.3964
00060691-9f70-4444-8888-acdc00000001,48.86772156,10.72630024
00060692-0003-4444-8888-acdc00000003,50.7924,8.7517
00060695-0003-4444-8888-acdc00000003,53.82215881,10.50881767
00060696-0002-4444-8888-acdc00000002,54.0390892,10.00564003
00060697-0001-4444-8888-acdc00000001,54.08866882,9.986949921
00060710-0001-4444-8888-acdc00000001,49.14793015,7.779329777
00060711-0001-4444-8888-acdc00000001,50.22679138,8.762079239
00060712-0006-4444-8888-acdcffffffff,50.50479126,12.20316982
00060728-0003-4444-8888-acdc00000003,50.83821869,8.466159821
00060731-1059-4444-8888-acdc00000001,49.57727814,10.82796001
00060736-0591-4444-8888-acdc00000591,53.10459518,11.12770939
00060740-0542-4444-8888-acdc00000542,52.95397186,11.22087002
00060741-0593-4444-8888-acdc00000593,53.23407745,11.42004681
00060742-0570-4444-8888-acdc00000570,52.87960052,11.49013805
00060743-0560-4444-8888-acdc00000560,52.88903046,11.74511814
00060744-0595-4444-8888-acdc00000595,53.09854889,11.48127174
00060745-0580-4444-8888-acdc00000580,52.7731514,11.76883984
00060746-0594-4444-8888-acdc00000594,53.13494492,11.27566051
00060754-0001-4444-8888-acdc00000001,50.55604553,8.90619278
00060763-d89e-4444-8888-acdc00000001,48.32226181,9.728399277
00060769-0077-4444-8888-acdc00000077,50.96871185,9.329400063
00060779-739f-4444-8888-acdc00000001,49.93181992,11.97177982
00060780-0001-4444-8888-acdc00000001,47.98958588,7.837563992
00060788-0004-4444-8888-acdc00000004,50.70312881,8.477950096
00060807-0001-4444-8888-acdc00000001,50.16731262,11.1613636
00060821-4ff8-392e-8ddc-d5f700060821,51.84663391,13.95988941
00060834-0001-4444-8888-acdc00000001,48.49513626,11.17702198
00060841-0592-4444-8888-acdc00000592,53.09489441,11.08208466
00060860-0005-4444-8888-acdc00000005,50.49692154,12.42043972
00060865-0001-4444-8888-acdcffffffff,48.70930862,9.577388763
00060877-0071-4444-8888-acdc00000071,50.8537178,8.549701691
00060895-afd9-4444-8888-acdc00000001,52.99816895,11.73474979
00060897-0026-4444-8888-acdc00000026,50.92925644,8.427253723
00060898-0001-4444-8888-acdc00000001,51.73093796,8.691739082
00060904-0001-4444-8888-acdc00000001,49.54943848,12.02581024
00060905-0002-4444-8888-acdc00000002,49.9733963,11.67278671
00060909-b59e-4444-8888-acdc00000609,50.14215088,8.57752037
00060936-0001-4444-8888-acdc00000001,50.4576,8.73663
00060939-b16c-4444-8888-acdc00000001,48.79909897,11.26410007
00060946-0002-4444-8888-acdc00000002,51.05104446,9.275642395
00060947-0001-4444-8888-acdc00000001,51.00930405,9.200248718
